movieTitle,releaseYear,productionCompany
Johnny Come Lately,1943,William Cagney Productions
Mission to Moscow,1943,Warner Bros.
Reason and Emotion,1943,Walt Disney Productions
Report from the Aleutians,1943,Army Pictorial Service
Shadow of a Doubt,1943,Skirball Productions
So This Is Washington,1943,Jack Wm. Votion Productions
Stand By for Action,1942,Metro-Goldwyn-Mayer
Swedes in America,1943,United States Office of War Information
Thank Your Lucky Stars,1943,Warner Bros.
The Amazing Mrs. Holliday,1943,Universal Pictures
The Battle of Russia,1943,U.S. Army Pictorial Service
The Dizzy Acrobat,1943,Walter Lantz Productions
The Fallen Sparrow,1943,RKO Radio Pictures
The Kansan,1943,Harry Sherman Productions
Tomorrow We Fly,1943,Bureau of Aeronautics
Victory Through Air Power,1943,Walt Disney Productions
War Department Report,1943,Office of Strategic Services
Youth in Crisis,1943,Time Inc.
Gaslight,1944,Metro-Goldwyn-Mayer
Since You Went Away,1944,Selznick International Pictures
Since You Went Away,1944,Vanguard Films
Cover Girl,1944,Columbia Pictures
Thirty Seconds Over Tokyo,1944,Metro-Goldwyn-Mayer
Mouse Trouble,1944,MGM Cartoons
The Fighting Lady,1944,United States Navy
With the Marines at Tarawa,1944,United States Marine Corps
Double Indemnity,1944,Paramount Pictures
Kismet,1944,Metro-Goldwyn-Mayer
Meet Me in St. Louis,1944,Metro-Goldwyn-Mayer
Brazil,1944,Republic Pictures
Casanova Brown,1944,International Pictures
Hollywood Canteen,1944,Warner Bros.
Lifeboat,1944,20th Century Fox
The Adventures of Mark Twain,1944,Warner Bros.
Address Unknown,1944,Columbia Pictures
Dragon Seed,1944,Metro-Goldwyn-Mayer
It Happened Tomorrow,1944,Arnold Pressburger Films
Mrs. Parkington,1944,Metro-Goldwyn-Mayer
The Princess and the Pirate,1944,Samuel Goldwyn Productions
Up in Arms,1944,Samuel Goldwyn Productions
Voice in the Wind,1944,Ripley/Monter Productions
A Guy Named Joe,1943,Metro-Goldwyn-Mayer
Christmas Holiday,1944,Universal Pictures
Days of Glory,1944,RKO Radio Pictures
Follow the Boys,1944,Chas. K. Feldman Group Productions
His Butler's Sister,1943,Universal Pictures
How to Play Football,1944,Walt Disney Productions
Jack London,1943,Samuel Bronston Productions
Jammin' the Blues,1944,Warner Bros.
Knickerbocker Holiday,1944,Producers Corporation of America
No Time for Love,1943,Paramount Pictures
None Shall Escape,1944,Columbia Pictures
Resisting Enemy Interrogation,1944,United States Army Air Forces First Motion Picture Unit
Secret Command,1944,Torneen Productions
Summer Storm,1944,Nero Films
Swooner Crooner,1944,Leon Schlesinger Productions
The Bridge of San Luis Rey,1944,Benedict Bogeaus Productions
The Fighting Seabees,1944,Republic Pictures
The Hairy Ape,1944,Mayfair Productions Inc.
The Merry Monahans,1944,Universal Pictures
The Seventh Cross,1944,Metro-Goldwyn-Mayer
The Story of Dr. Wassell,1944,Paramount Pictures
The Uninvited,1944,Paramount Pictures
The Uninvited,1944,Inc.
The White Cliffs of Dover,1944,Metro-Goldwyn-Mayer
The Woman of the Town,1943,Harry Sherman Productions
Up in Mabel's Room,1944,Edward Small Productions
"Wing and a Prayer, The Story of Carrier X",1944,Twentieth Century-Fox Film Corp.
The Lost Weekend,1945,Paramount Pictures
National Velvet,1944,Metro-Goldwyn-Mayer
The Bells of St. Mary's,1945,Rainbow Productions
Spellbound,1945,Selznick International Pictures
Spellbound,1945,Vanguard Films
Anchors Aweigh,1945,Metro-Goldwyn-Mayer
Anchors Aweigh,1945,MGM Cartoons(animated sequences)
Leave Her to Heaven,1945,20th Century Fox
Wonder Man,1945,Samuel Goldwyn Productions
The Picture of Dorian Gray,1945,Metro-Goldwyn-Mayer
Blood on the Sun,1945,William Cagney Productions
Frenchman's Creek,1944,Paramount Pictures
Marie-Louise,1944,Praesens-Film
A Song to Remember,1945,Columbia Pictures
Love Letters,1945,Hal Wallis Productions
"Objective, Burma!",1945,Warner Bros.
