firstName,lastName,movieTitle,releaseYear,iteration,categoryName,isWinner
Dustin,Hoffman,Kramer vs. Kramer,1979,52nd,Best Actor in a Leading Role,yes
Jack,Lemmon,The China Syndrome,1979,52nd,Best Actor in a Leading Role,no
Al,Pacino,...And Justice for All,1979,52nd,Best Actor in a Leading Role,no
Roy,Scheider,All That Jazz,1979,52nd,Best Actor in a Leading Role,no
Peter,Sellers,Being There,1979,52nd,Best Actor in a Leading Role,no
Robert,De Niro,Raging Bull,1980,53rd,Best Actor in a Leading Role,yes
Robert,Duvall,The Great Santini,1979,53rd,Best Actor in a Leading Role,no
John,Hurt,The Elephant Man,1980,53rd,Best Actor in a Leading Role,no
Jack,Lemmon,Tribute,1980,53rd,Best Actor in a Leading Role,no
Peter,O'Toole,The Stunt Man,1980,53rd,Best Actor in a Leading Role,no
Henry,Fonda,On Golden Pond,1981,54th,Best Actor in a Leading Role,yes
Warren,Beatty,Reds,1981,54th,Best Actor in a Leading Role,no
Burt,Lancaster,Atlantic City,1980,54th,Best Actor in a Leading Role,no
Dudley,Moore,Arthur,1981,54th,Best Actor in a Leading Role,no
Paul,Newman,Absence of Malice,1981,54th,Best Actor in a Leading Role,no
Ben,Kingsley,Gandhi,1982,55th,Best Actor in a Leading Role,yes
Dustin,Hoffman,Tootsie,1982,55th,Best Actor in a Leading Role,no
Jack,Lemmon,Missing,1982,55th,Best Actor in a Leading Role,no
Paul,Newman,The Verdict,1982,55th,Best Actor in a Leading Role,no
Peter,O'Toole,My Favorite Year,1982,55th,Best Actor in a Leading Role,no
Robert,Duvall,Tender Mercies,1983,56th,Best Actor in a Leading Role,yes
Michael,Caine,Educating Rita,1983,56th,Best Actor in a Leading Role,no
Tom,Conti,"Reuben, Reuben",1983,56th,Best Actor in a Leading Role,no
Tom,Courtenay,The Dresser,1983,56th,Best Actor in a Leading Role,no
F.,Murray Abraham,Amadeus,1984,57th,Best Actor in a Leading Role,yes
Jeff,Bridges,Starman,1984,57th,Best Actor in a Leading Role,no
Albert,Finney,Under the Volcano,1984,57th,Best Actor in a Leading Role,no
Tom,Hulce,Amadeus,1984,57th,Best Actor in a Leading Role,no
Sam,Waterston,The Killing Fields,1984,57th,Best Actor in a Leading Role,no
William,Hurt,Kiss of the Spider Woman,1985,58th,Best Actor in a Leading Role,yes
Harrison,Ford,Witness,1985,58th,Best Actor in a Leading Role,no
James,Garner,Murphy's Romance,1985,58th,Best Actor in a Leading Role,no
Jack,Nicholson,Prizzi's Honor,1985,58th,Best Actor in a Leading Role,no
Jon,Voight,Runaway Train,1985,58th,Best Actor in a Leading Role,no
Paul,Newman,The Color of Money,1986,59th,Best Actor in a Leading Role,yes
Dexter,Gordon,Round Midnight,1986,59th,Best Actor in a Leading Role,no
Bob,Hoskins,Mona Lisa,1986,59th,Best Actor in a Leading Role,no
William,Hurt,Children of a Lesser God,1986,59th,Best Actor in a Leading Role,no
James,Woods,Salvador,1986,59th,Best Actor in a Leading Role,no
Michael,Douglas,Wall Street,1987,60th,Best Actor in a Leading Role,yes
William,Hurt,Broadcast News,1987,60th,Best Actor in a Leading Role,no
Marcello,Mastroianni,Dark Eyes,1987,60th,Best Actor in a Leading Role,no
Jack,Nicholson,Ironweed,1987,60th,Best Actor in a Leading Role,no
Robin,Williams,"Good Morning, Vietnam",1987,60th,Best Actor in a Leading Role,no
Dustin,Hoffman,Rain Man,1988,61st,Best Actor in a Leading Role,yes
Gene,Hackman,Mississippi Burning,1988,61st,Best Actor in a Leading Role,no
Tom,Hanks,Big,1988,61st,Best Actor in a Leading Role,no
Edward,James Olmos,Stand and Deliver,1988,61st,Best Actor in a Leading Role,no
Max,von Sydow,Pelle the Conqueror,1987,61st,Best Actor in a Leading Role,no
Daniel,Day-Lewis,My Left Foot,1989,62nd,Best Actor in a Leading Role,yes
Kenneth,Branagh,Henry V,1989,62nd,Best Actor in a Leading Role,no
Tom,Cruise,Born on the Fourth of July,1989,62nd,Best Actor in a Leading Role,no
Morgan,Freeman,Driving Miss Daisy,1989,62nd,Best Actor in a Leading Role,no
