firstName,lastName,movieTitle,releaseYear,categoryName,iteration,winner
Paweł,Pawlikowski,Ida,2014,Best International Feature Film,87th,yes
Andrey,Zvyagintsev,Leviathan,2014,Best International Feature Film,87th,no
Zaza,Urushadze,Tangerines,2014,Best International Feature Film,87th,no
Abderrahmane,Sissako,Timbuktu,2014,Best International Feature Film,87th,no
Damián,Szifron,Wild Tales,2014,Best International Feature Film,87th,no
László,Nemes,Son of Saul,2015,Best International Feature Film,88th,yes
Ciro,Guerra,Embrace of the Serpent,2015,Best International Feature Film,88th,no
Deniz,Gamze Ergüven,Mustang,2015,Best International Feature Film,88th,no
Naji,Abu Nowar,Theeb,2015,Best International Feature Film,88th,no
Tobias,Lindholm,A War,2015,Best International Feature Film,88th,no
Asghar,Farhadi,The Salesman,2016,Best International Feature Film,89th,yes
Martin,Zandvliet,Land of Mine,2016,Best International Feature Film,89th,no
Hannes,Holm,A Man Called Ove,2016,Best International Feature Film,89th,no
Martin,Butler,Tanna,2016,Best International Feature Film,89th,no
Bentley,Dean,Tanna,2016,Best International Feature Film,89th,no
Maren,Ade,Toni Erdmann,2016,Best International Feature Film,89th,no
Sebastián,Lelio,A Fantastic Woman,2017,Best International Feature Film,90th,yes
Ziad,Doueiri,The Insult,2017,Best International Feature Film,90th,no
Andrey,Zvyagintsev,Loveless,2017,Best International Feature Film,90th,no
Ildikó,Enyedi,On Body and Soul,2017,Best International Feature Film,90th,no
Ruben,Östlund,The Square,2017,Best International Feature Film,90th,no
Alfonso,Cuarón,Roma,2018,Best International Feature Film,91st,yes
Nadine,Labaki,Capernaum,2018,Best International Feature Film,91st,no
Paweł,Pawlikowski,Cold War,2018,Best International Feature Film,91st,no
Florian,Henckel von Donnersmarck,Never Look Away,2018,Best International Feature Film,91st,no
Hirokazu,Kore-eda,Shoplifters,2018,Best International Feature Film,91st,no
Bong,Joon-ho,Parasite,2019,Best International Feature Film,92nd,yes
Jan,Komasa,Corpus Christi,2019,Best International Feature Film,92nd,no
Tamara,Kotevska,Honeyland,2019,Best International Feature Film,92nd,no
Ljubomir,Stefanov,Honeyland,2019,Best International Feature Film,92nd,no
Ladj,Ly,Les Misérables,2019,Best International Feature Film,92nd,no
Pedro,Almodóvar,Pain and Glory,2019,Best International Feature Film,92nd,no
Thomas,Vinterberg,Another Round,2020,Best International Feature Film,93rd,yes
Derek,Tsang,Better Days,2020,Best International Feature Film,93rd,no
