firstName,lastName,movieTitle,releaseYear
Sigourney,Weaver,Gorillas in the Mist,1988
Jessica,Tandy,Driving Miss Daisy,1989
Isabelle,Adjani,Camille Claudel,1989
Pauline,Collins,Shirley Valentine,1989
Jessica,Lange,Music Box,1989
Michelle,Pfeiffer,The Fabulous Baker Boys,1989
Kathy,Bates,Misery,1990
Anjelica,Huston,The Grifters,1990
Julia,Roberts,Pretty Woman,1990
Meryl,Streep,Postcards from the Edge,1990
Joanne,Woodward,Mr. & Mrs. Bridge,1990
Jodie,Foster,The Silence of the Lambs,1991
Geena,Davis,Thelma & Louise,1991
Laura,Dern,Rambling Rose,1991
Bette,Midler,For the Boys,1991
Susan,Sarandon,Thelma & Louise,1991
Emma,Thompson,Howards End,1992
Catherine,Deneuve,Indochine,1992
Mary,McDonnell,Passion Fish,1992
Michelle,Pfeiffer,Love Field,1992
Susan,Sarandon,Lorenzo's Oil,1992
Holly,Hunter,The Piano,1993
Angela,Bassett,What's Love Got to Do with It,1993
Stockard,Channing,Six Degrees of Separation,1993
Emma,Thompson,The Remains of the Day,1993
Debra,Winger,Shadowlands,1993
Jessica,Lange,Blue Sky,1994
Jodie,Foster,Nell,1994
Miranda,Richardson,Tom & Viv,1994
Winona,Ryder,Little Women,1994
Susan,Sarandon,The Client,1994
Susan,Sarandon,Dead Man Walking,1995
Elisabeth,Shue,Leaving Las Vegas,1995
Sharon,Stone,Casino,1995
Meryl,Streep,The Bridges of Madison County,1995
Emma,Thompson,Sense and Sensibility,1995
Frances,McDormand,Fargo,1996
Brenda,Blethyn,Secrets & Lies,1996
Diane,Keaton,Marvin's Room,1996
Kristin,Scott Thomas,The English Patient,1996
Emily,Watson,Breaking the Waves,1996
Helen,Hunt,As Good as It Gets,1997
Helena,Bonham Carter,The Wings of the Dove,1997
Julie,Christie,Afterglow,1997
Judi,Dench,Mrs Brown,1997
Kate,Winslet,Titanic,1997
Gwyneth,Paltrow,Shakespeare in Love,1998
Cate,Blanchett,Elizabeth,1998
Fernanda,Montenegro,Central Station,1998
Meryl,Streep,One True Thing,1998
Emily,Watson,Hilary and Jackie,1998
Hilary,Swank,Boys Don't Cry,1999
Annette,Bening,American Beauty,1999
Janet,McTeer,Tumbleweeds,1999
Julianne,Moore,The End of the Affair,1999
Meryl,Streep,Music of the Heart,1999
Julia,Roberts,Erin Brockovich,2000
Joan,Allen,The Contender,2000
Juliette,Binoche,Chocolat,2000
Ellen,Burstyn,Requiem for a Dream,2000
Laura,Linney,You Can Count on Me,2000
Halle,Berry,Monster's Ball,2001
Judi,Dench,Iris,2001
Nicole,Kidman,Moulin Rouge!,2001
Sissy,Spacek,In the Bedroom,2001
Renée,Zellweger,Bridget Jones's Diary,2001
Nicole,Kidman,The Hours,2002
Salma,Hayek,Frida,2002
Diane,Lane,Unfaithful,2002
Julianne,Moore,Far from Heaven,2002
Renée,Zellweger,Chicago,2002
Charlize,Theron,Monster,2003
