firstName,lastName,movieTitle,releaseYear
Freida,Lee Mock,Maya Lin: A Strong Clear Vision,1994
Deborah,Hoffmann,Complaints of a Dutiful Daughter,1994
Charles,Guggenheim,D-Day Remembered,1994
Jean,Bach,A Great Day in Harlem,1994
Jon,Blair,Anne Frank Remembered,1995
Thomas,Lennon,The Battle Over Citizen Kane,1995
Michael,Tollin,Hank Aaron: Chasing the Dream,1995
Jeanne,Jordan,Troublesome Creek: A Midwestern,1995
Steven,Ascher,Troublesome Creek: A Midwestern,1995
Leon,Gast,When We Were Kings,1996
David,Sonenberg,When We Were Kings,1996
Jo,Menell,Mandela,1996
Anne,Belle,Suzanne Farrell: Elusive Muse,1996
Deborah,Dickson,Suzanne Farrell: Elusive Muse,1996
Rick,Goldsmith,Tell the Truth and Run: George Seldes and the American Press,1996
Marvin,Hier,The Long Way Home,1997
Spike,Lee,4 Little Girls,1997
Sam,Pollard,4 Little Girls,1997
Michael,Paxton,Ayn Rand: A Sense of Life,1997
Michèle,Ohayon,Colors Straight Up,1997
William,Gazecki,Waco: The Rules of Engagement,1997
James,Moll,The Last Days,1998
Kenneth,Lipper,The Last Days,1998
Matthew,Diamond,Dancemaker,1998
Jerry,Kupfer,Dancemaker,1998
Jonathan,Stack,"The Farm: Angola, USA",1998
Liz,Garbus,"The Farm: Angola, USA",1998
Robert,B. Weide,Lenny Bruce: Swear to Tell the Truth,1998
Janet,Cole,Regret to Inform,1998
Arthur,Cohn,One Day in September,1999
Kevin,Macdonald,One Day in September,1999
Wim,Wenders,Buena Vista Social Club,1999
Ulrich,Felsberg,Buena Vista Social Club,1999
Roko,Belic,Genghis Blues,1999
Nanette,Burstein,On the Ropes,1999
Brett,Morgen,On the Ropes,1999
Lilibet,Foster,Speaking in Strings,1999
Mark,Jonathan Harris,Into the Arms of Strangers: Stories of the Kindertransport,2000
Deborah,Oppenheimer,Into the Arms of Strangers: Stories of the Kindertransport,2000
Tod,Lending,Legacy,2000
Deborah,Hoffmann,Long Night's Journey into Day,2000
Frances,Reid,Long Night's Journey into Day,2000
Roger,Weisberg,Sound and Fury,2000
Jean-Xavier,de Lestrade,Murder on a Sunday Morning,2001
Edet,Belzberg,Children Underground,2001
Deborah,Dickson,LaLee's Kin: The Legacy of Cotton,2001
Susan,Froemke,LaLee's Kin: The Legacy of Cotton,2001
Justine,Shapiro,Promises,2001
Christian,Frei,War Photographer,2001
Michael,Moore,Bowling for Columbine,2002
Michael,Donovan,Bowling for Columbine,2002
Gail,Dolgin,Daughter from Danang,2002
Malcolm,Clarke,Prisoner of Paradise,2002
Jeffrey,Blitz,Spellbound,2002
Jacques,Perrin,Winged Migration,2002
Errol,Morris,The Fog of War,2003
Michael,Williams,The Fog of War,2003
Carles,Bosch,Balseros,2003
Andrew,Jarecki,Capturing the Friedmans,2003
Marc,Smerling,Capturing the Friedmans,2003
Nathaniel,Kahn,My Architect,2003
Sam,Green,The Weather Underground,2003
Bill,Siegel,The Weather Underground,2003
Zana,Briski,Born into Brothels,2004
Byambasuren,Davaa,The Story of the Weeping Camel,2004
Luigi,Falorni,The Story of the Weeping Camel,2004
Morgan,Spurlock,Super Size Me,2004
Karolyn,Ali,Tupac: Resurrection,2004
