firstName,lastName,movieTitle,releaseYear
Jared,Leto,Dallas Buyers Club,2013
Barkhad,Abdi,Captain Phillips,2013
Bradley,Cooper,American Hustle,2013
Michael,Fassbender,12 Years a Slave,2013
Jonah,Hill,The Wolf of Wall Street,2013
J.,K. Simmons,Whiplash,2014
Robert,Duvall,The Judge,2014
Ethan,Hawke,Boyhood,2014
Edward,Norton,Birdman,2014
Mark,Ruffalo,Foxcatcher,2014
Mark,Rylance,Bridge of Spies,2015
Christian,Bale,The Big Short,2015
Tom,Hardy,The Revenant,2015
Mark,Ruffalo,Spotlight,2015
Sylvester,Stallone,Creed,2015
Mahershala,Ali,Moonlight,2016
Jeff,Bridges,Hell or High Water,2016
Lucas,Hedges,Manchester by the Sea,2016
Dev,Patel,Lion,2016
Michael,Shannon,Nocturnal Animals,2016
Sam,Rockwell,"Three Billboards Outside Ebbing, Missouri",2017
Willem,Dafoe,The Florida Project,2017
Woody,Harrelson,"Three Billboards Outside Ebbing, Missouri",2017
Richard,Jenkins,The Shape of Water,2017
Christopher,Plummer,All the Money in the World,2017
Mahershala,Ali,Green Book,2018
Adam,Driver,BlacKkKlansman,2018
Sam,Elliott,A Star Is Born,2018
Richard,E. Grant,Can You Ever Forgive Me?,2018
Sam,Rockwell,Vice,2018
Brad,Pitt,Once Upon a Time in Hollywood,2019
Tom,Hanks,A Beautiful Day in the Neighborhood,2019
Anthony,Hopkins,The Two Popes,2019
Al,Pacino,The Irishman,2019
Daniel,Kaluuya,Judas and the Black Messiah,2020
Sacha,Baron Cohen,The Trial of the Chicago 7,2020
Leslie,Odom Jr.,One Night in Miami...,2020
Paul,Raci,Sound of Metal,2020
LaKeith,Stanfield,Judas and the Black Messiah,2020
Troy,Kotsur,CODA,2021
Ciarán,Hinds,Belfast,2021
Jesse,Plemons,The Power of the Dog,2021
J.,K. Simmons,Being the Ricardos,2021
Kodi,Smit-McPhee,The Power of the Dog,2021
Ke,Huy Quan,Everything Everywhere All at Once,2022
Brendan,Gleeson,The Banshees of Inisherin,2022
Brian,Tyree Henry,Causeway,2022
Judd,Hirsch,The Fabelmans,2022
Barry,Keoghan,The Banshees of Inisherin,2022
Robert,Downey Jr.,Oppenheimer,2023
Sterling,K. Brown,American Fiction,2023
Robert,De Niro,Killers of the Flower Moon,2023
Ryan,Gosling,Barbie,2023
Mark,Ruffalo,Poor Things,2023
Kieran,Culkin,A Real Pain,2024
Yura,Borisov,Anora,2024
Edward,Norton,A Complete Unknown,2024
Guy,Pearce,The Brutalist,2024
Jeremy,Strong,The Apprentice,2024
