firstName,lastName,movieTitle,releaseYear
Robert,Valley,Pear Cider and Cigarettes,2016
Patrick,Osborne,Pearl,2016
Glen,Keane,Dear Basketball,2017
Kobe,Bryant,Dear Basketball,2017
Victor,Caire,Garden Party,2017
Gabriel,Grapperon,Garden Party,2017
Dave,Mullins,Lou,2017
Dana,Murray,Lou,2017
Ru,Kuwahata,Negative Space,2017
Max,Porter,Negative Space,2017
Jakob,Schuh,Revolting Rhymes,2017
Jan,Lachauer,Revolting Rhymes,2017
Domee,Shi,Bao,2018
David,Fine,Animal Behaviour,2018
Alison,Snowden,Animal Behaviour,2018
Andrew,Chesworth,One Small Step,2018
Trevor,Jimenez,Weekends,2018
Matthew,A. Cherry,Hair Love,2019
Karen,Rupert Toliver,Hair Love,2019
Daria,Kashcheeva,Daughter,2019
Rosana,Sullivan,Kitbull,2019
Siqi,Song,Sister,2019
Michael,Govier,If Anything Happens I Love You,2020
Will,McCormack,If Anything Happens I Love You,2020
Madeline,Sharafian,Burrow,2020
Erick,Oh,Opera,2020
Alberto,Mielgo,The Windshield Wiper,2021
Joanna,Quinn,Affairs of the Art,2021
Charlie,Mackesy,"The Boy, the Mole, the Fox and the Horse",2022
Matthew,Freud,"The Boy, the Mole, the Fox and the Horse",2022
Amanda,Forbis & Wendy Tilby,The Flying Sailor,2022
João,Gonzalez,Ice Merchants,2022
Sara,Gunnarsdóttir,My Year of Dicks,2022
Pamela,Ribon,My Year of Dicks,2022
Lachlan,Pendragon,An Ostrich Told Me the World Is Fake and I Think I Believe It,2022
Dave,Mullins,War Is Over! Inspired by the Music of John & Yoko,2023
Brad,Booker,War Is Over! Inspired by the Music of John & Yoko,2023
Tal,Kantor,Letter to a Pig,2023
Amit,R. Gicelter,Letter to a Pig,2023
Jared,Hess and Jerusha Hess,Ninety-Five Senses,2023
Stéphanie,Clément,Pachyderme,2023
Daisuke,Nishio,Magic Candies,2024
Nina,Gantz,Wander to Wonder,2024
Loïc,Espuche,Yuck!,2024
